ID,prompt_1 (moda),prompt_2 (moda),prompt_3 (moda),Classificacao_Correta
1,Vermelho,Laranja,Laranja,Laranja
2,Amarelo,Amarelo,Amarelo,Amarelo
3,Amarelo,Laranja,Vermelho,Laranja
4,Amarelo,Verde,Amarelo,Verde
5,Laranja,Laranja,Amarelo,Amarelo
6,Amarelo,Amarelo,Amarelo,Amarelo
7,Amarelo,Amarelo,Amarelo,Verde
8,Vermelho,Amarelo,Vermelho,Laranja
9,Amarelo,Verde,Amarelo,Verde
10,Verde,Amarelo,Amarelo,Verde
11,Laranja,Vermelho,Vermelho,Amarelo
12,Vermelho,Laranja,Laranja,Laranja
13,Vermelho,Vermelho,Vermelho,Vermelho
14,Vermelho,Laranja,Amarelo,Laranja
15,Laranja,Verde,Laranja,Laranja
16,Vermelho,Vermelho,Vermelho,Laranja
17,Amarelo,Amarelo,Vermelho,Amarelo
18,Amarelo,Amarelo,Verde,Laranja
19,Amarelo,Amarelo,Amarelo,Laranja
20,Vermelho,Vermelho,Vermelho,Laranja
21,Vermelho,Vermelho,Vermelho,Amarelo
22,Vermelho,Amarelo,Vermelho,Amarelo
23,Amarelo,Amarelo,Vermelho,Amarelo
24,Amarelo,Laranja,Amarelo,Amarelo
25,Laranja,Vermelho,Vermelho,Laranja
26,Vermelho,Laranja,Laranja,Laranja
28,Vermelho,Vermelho,Laranja,Vermelho
29,Vermelho,Vermelho,Vermelho,Vermelho
30,Vermelho,Vermelho,Vermelho,Vermelho
32,Laranja,Amarelo,Vermelho,Laranja
33,Vermelho,Vermelho,Vermelho,Laranja
34,Laranja,Amarelo,Amarelo,Laranja
35,Laranja,Verde,Vermelho,Amarelo
36,Laranja,Laranja,Vermelho,Amarelo
37,Vermelho,Verde,Vermelho,Amarelo
38,Vermelho,Laranja,Laranja,Amarelo
40,Amarelo,Verde,Amarelo,Verde
41,Verde,Verde,Verde,Azul
42,Verde,Verde,Amarelo,Azul
