ID,prompt_1 (moda),Classificacao_Correta
1,Vermelho,Laranja
2,Laranja,Amarelo
3,Vermelho,Laranja
4,Laranja,Verde
5,Laranja,Amarelo
6,Laranja,Amarelo
7,Amarelo,Verde
8,Laranja,Laranja
9,Amarelo,Verde
10,Amarelo,Verde
11,Laranja,Amarelo
12,Laranja,Laranja
13,Vermelho,Vermelho
14,Vermelho,Laranja
15,Laranja,Laranja
16,Vermelho,Laranja
17,Laranja,Amarelo
18,Vermelho,Laranja
19,Vermelho,Laranja
20,Vermelho,Laranja
21,Vermelho,Amarelo
22,Vermelho,Amarelo
23,Laranja,Amarelo
24,Laranja,Amarelo
25,Vermelho,Laranja
26,Vermelho,Laranja
28,Vermelho,Vermelho
29,Vermelho,Vermelho
30,Vermelho,Vermelho
32,Vermelho,Laranja
33,Vermelho,Laranja
34,Vermelho,Laranja
35,Vermelho,Amarelo
36,Laranja,Amarelo
37,Vermelho,Amarelo
38,Vermelho,Amarelo
40,Laranja,Verde
41,Amarelo,Azul
42,Amarelo,Azul
